time_period_start,time_period_end,price_high,price_low,price_close,price_open,trades_count,volume_traded,time_open,time_close
2018-04-03T00:00:00.0000000Z,2018-04-04T00:00:00.0000000Z,7506.84,7001.28,7416.27,7052.75,44853,16094.892134747,2018-04-03T00:00:02.0000000Z,2018-04-03T23:59:44.0000000Z
2018-04-04T00:00:00.0000000Z,2018-04-05T00:00:00.0000000Z,7430.0,6710.38,6799.95,7415.53,34554,15789.782099436,2018-04-04T00:00:04.0000000Z,2018-04-04T23:59:57.0000000Z
2018-04-05T00:00:00.0000000Z,2018-04-06T00:00:00.0000000Z,6928.7,6578.95,6771.69,6799.37,34561,11894.535978051,2018-04-05T00:00:01.0000000Z,2018-04-05T23:59:49.0000000Z
2018-04-06T00:00:00.0000000Z,2018-04-07T00:00:00.0000000Z,6850.0,6510.0,6618.33,6771.3,29548,8478.418068954,2018-04-06T00:00:06.0000000Z,2018-04-06T23:59:21.0000000Z
2018-04-07T00:00:00.0000000Z,2018-04-08T00:00:00.0000000Z,7069.13,6600.99,6904.9,6627.7,26198,7683.041652586,2018-04-07T00:00:08.0000000Z,2018-04-07T23:59:59.0000000Z
2018-04-08T00:00:00.0000000Z,2018-04-09T00:00:00.0000000Z,7104.52,6894.8,7027.26,6904.21,17425,4352.697942011,2018-04-08T00:00:00.0000000Z,2018-04-08T23:59:58.0000000Z
2018-04-09T00:00:00.0000000Z,2018-04-10T00:00:00.0000000Z,7175.83,6611.49,6780.1,7027.26,44172,10105.283362725,2018-04-09T00:00:04.0000000Z,2018-04-09T23:59:50.0000000Z
2018-04-10T00:00:00.0000000Z,2018-04-11T00:00:00.0000000Z,6900.0,6653.21,6835.67,6782.39,39990,6489.889695739,2018-04-10T00:00:00.0000000Z,2018-04-10T23:59:55.0000000Z
2018-04-11T00:00:00.0000000Z,2018-04-12T00:00:00.0000000Z,6984.92,6809.26,6940.94,6824.75,30341,5829.425345127,2018-04-11T00:00:06.0000000Z,2018-04-11T23:59:57.0000000Z
2018-04-12T00:00:00.0000000Z,2018-04-13T00:00:00.0000000Z,8069.34,6758.45,7923.78,6940.94,67721,19046.738695625,2018-04-12T00:00:07.0000000Z,2018-04-12T23:59:55.0000000Z
2018-04-13T00:00:00.0000000Z,2018-04-14T00:00:00.0000000Z,8239.33,7753.32,7896.92,7923.78,55266,19605.942750735,2018-04-13T00:00:01.0000000Z,2018-04-13T23:59:59.0000000Z
2018-04-14T00:00:00.0000000Z,2018-04-15T00:00:00.0000000Z,8232.14,7835.0,8000.41,7885.9,33079,8935.530714763,2018-04-14T00:00:01.0000000Z,2018-04-14T23:59:48.0000000Z
2018-04-15T00:00:00.0000000Z,2018-04-16T00:00:00.0000000Z,8417.0,8001.23,8354.22,8003.39,27627,7542.840815628,2018-04-15T00:00:04.0000000Z,2018-04-15T23:59:52.0000000Z
2018-04-16T00:00:00.0000000Z,2018-04-17T00:00:00.0000000Z,8424.99,7905.0,8048.15,8353.43,32384,10866.60295747,2018-04-16T00:00:02.0000000Z,2018-04-16T23:59:55.0000000Z
2018-04-17T00:00:00.0000000Z,2018-04-18T00:00:00.0000000Z,8160.85,7806.81,7890.87,8054.68,29746,9277.151215369,2018-04-17T00:00:00.0000000Z,2018-04-17T23:59:46.0000000Z
2018-04-18T00:00:00.0000000Z,2018-04-19T00:00:00.0000000Z,8235.0,7870.35,8172.84,7890.87,26856,9227.204598064,2018-04-18T00:00:01.0000000Z,2018-04-18T23:59:59.0000000Z
2018-04-19T00:00:00.0000000Z,2018-04-20T00:00:00.0000000Z,8297.99,8074.44,8271.31,8172.83,29792,9436.846327611,2018-04-19T00:00:04.0000000Z,2018-04-19T23:59:55.0000000Z
2018-04-20T00:00:00.0000000Z,2018-04-21T00:00:00.0000000Z,8934.0,8216.9,8861.0,8273.0,42441,16059.622671318,2018-04-20T00:00:00.0000000Z,2018-04-20T23:59:59.0000000Z
2018-04-21T00:00:00.0000000Z,2018-04-22T00:00:00.0000000Z,9023.4,8608.0,8920.71,8865.78,38859,15336.307927403,2018-04-21T00:00:02.0000000Z,2018-04-21T23:59:57.0000000Z
2018-04-22T00:00:00.0000000Z,2018-04-23T00:00:00.0000000Z,9036.52,8760.0,8789.96,8924.93,25924,9346.451759237,2018-04-22T00:00:02.0000000Z,2018-04-22T23:59:50.0000000Z
2018-04-23T00:00:00.0000000Z,2018-04-24T00:00:00.0000000Z,9006.39,8771.22,8946.95,8781.7,26994,10286.117714879,2018-04-23T00:00:00.0000000Z,2018-04-23T23:59:44.0000000Z
2018-04-24T00:00:00.0000000Z,2018-04-25T00:00:00.0000000Z,9737.16,8930.0,9648.0,8942.0,49774,20393.622336749,2018-04-24T00:00:04.0000000Z,2018-04-24T23:59:59.0000000Z
2018-04-25T00:00:00.0000000Z,2018-04-26T00:00:00.0000000Z,9755.53,8751.0,8864.99,9648.36,70776,33035.904044781,2018-04-25T00:00:00.0000000Z,2018-04-25T23:59:59.0000000Z
2018-04-26T00:00:00.0000000Z,2018-04-27T00:00:00.0000000Z,9326.79,8647.29,9274.48,8855.07,50129,20042.961722094,2018-04-26T00:00:04.0000000Z,2018-04-26T23:59:58.0000000Z
2018-04-27T00:00:00.0000000Z,2018-04-28T00:00:00.0000000Z,9387.82,8901.09,8921.43,9277.32,34628,11375.514375445,2018-04-27T00:00:03.0000000Z,2018-04-27T23:59:50.0000000Z
2018-04-28T00:00:00.0000000Z,2018-04-29T00:00:00.0000000Z,9442.34,8854.47,9345.11,8916.54,40524,15558.402301912,2018-04-28T00:00:00.0000000Z,2018-04-28T23:59:57.0000000Z
2018-04-29T00:00:00.0000000Z,2018-04-30T00:00:00.0000000Z,9538.75,9180.0,9393.99,9352.97,42950,10940.7180306,2018-04-29T00:00:00.0000000Z,2018-04-29T23:59:59.0000000Z
2018-04-30T00:00:00.0000000Z,2018-05-01T00:00:00.0000000Z,9443.96,9111.0,9242.17,9396.32,34594,8085.688294542,2018-04-30T00:00:00.0000000Z,2018-04-30T23:59:56.0000000Z
2018-05-01T00:00:00.0000000Z,2018-05-02T00:00:00.0000000Z,9249.99,8815.91,9066.9,9243.51,43574,12138.263960461,2018-05-01T00:00:00.0000000Z,2018-05-01T23:59:59.0000000Z
2018-05-02T00:00:00.0000000Z,2018-05-03T00:00:00.0000000Z,9188.1,8975.23,9114.91,9066.9,24895,8498.92674768,2018-05-02T00:00:02.0000000Z,2018-05-02T18:25:39.0000000Z
